Revenue,Duration,Score,genre,,,,,,,,
35168966,138,6.1,18,,,,,,,,
79114085,129,6.6,12,,,,,,,,
108539911,144,7.3,10749,,,,,,,,
16178959,110,5.4,14,,,,,,,,
148336445,141,6.7,18,,,,,,,,
494471524,113,6.1,28,,,,,,,,
429632142,143,7.5,12,,,,,,,,
384335608,108,5.9,16,,,,,,,,
288500217,108,7.2,28,,,,,,,,
315156409,124,6.2,28,,,,,,,,
450717150,116,7.2,53,,,,,,,,
132274484,110,5.6,12,,,,,,,,
358375603,91,6.8,16,,,,,,,,
340487652,107,6.6,35,,,,,,,,
208076205,115,6.3,28,,,,,,,,
183611771,100,5.1,35,,,,,,,,
152930623,104,5.8,28,,,,,,,,
194168700,136,6.7,35,,,,,,,,
250649836,132,6.7,28,,,,,,,,
219103655,121,6.2,35,,,,,,,,
311312624,122,6.5,80,,,,,,,,
197309027,83,6.1,12,,,,,,,,
288747895,139,6.9,12,,,,,,,,
96976270,131,7.2,10752,,,,,,,,
80916492,104,6.4,12,,,,,,,,
137298489,130,6.1,12,,,,,,,,
162242962,145,7.3,18,,,,,,,,
158468292,104,6.1,28,,,,,,,,
142940100,178,6.9,14,,,,,,,,
78382433,108,5.5,28,,,,,,,,
37823676,123,7.3,18,,,,,,,,
183018522,106,5.5,12,,,,,,,,
47664559,112,7.2,28,,,,,,,,
74208267,136,5.4,28,,,,,,,,
123307945,106,4.7,14,,,,,,,,
275650703,88,5.4,9648,,,,,,,,
41037742,95,6.6,28,,,,,,,,
237681299,107,6,35,,,,,,,,
21028755,120,6.7,27,,,,,,,,
112483764,82,4.9,35,,,,,,,,
222231186,88,5.9,12,,,,,,,,
160388063,120,6.5,12,,,,,,,,
84785914,157,7.3,80,,,,,,,,
96085477,123,5.7,878,,,,,,,,
484572835,101,6.4,14,,,,,,,,
274470394,103,6,53,,,,,,,,
457696359,110,6.7,12,,,,,,,,
691210692,142,6.9,878,,,,,,,,
254455986,102,6.2,35,,,,,,,,
280000000,126,6.6,28,,,,,,,,
343397247,83,6.3,35,,,,,,,,
145771527,85,7.1,16,,,,,,,,
144000000,97,5.8,35,,,,,,,,
140464664,120,5.9,28,,,,,,,,
0,116,6.4,28,,,,,,,,
190320568,113,6.2,35,,,,,,,,
342695435,87,5.4,35,,,,,,,,
246984278,100,5.8,35,,,,,,,,
230685453,110,6,28,,,,,,,,
266728738,128,6.3,18,,,,,,,,
294804195,138,7.8,18,,,,,,,,
163733697,88,5.3,35,,,,,,,,
260696994,91,6,16,,,,,,,,
245676146,138,6.8,28,,,,,,,,
212874442,99,5.9,14,,,,,,,,
181001478,117,7.3,53,,,,,,,,
214918407,117,6.3,10749,,,,,,,,
224012234,115,6.5,28,,,,,,,,
178066569,118,6.3,9648,,,,,,,,
173013509,154,6.7,18,,,,,,,,
157107755,118,6.6,28,,,,,,,,
177977226,93,5.3,35,,,,,,,,
91188905,113,5.2,27,,,,,,,,
250200000,88,6.5,16,,,,,,,,
233093859,104,5.2,18,,,,,,,,
136982834,135,6.5,28,,,,,,,,
211817906,135,7.4,10752,,,,,,,,
164000000,98,5.6,28,,,,,,,,
201584141,80,5.2,35,,,,,,,,
122563539,83,7.4,37,,,,,,,,
169852759,102,5.3,35,,,,,,,,
136159423,130,5,12,,,,,,,,
96105964,129,6.2,18,,,,,,,,
473226958,89,6.7,16,,,,,,,,
90874570,74,7,16,,,,,,,,
123729176,96,5.8,878,,,,,,,,
0,114,5.9,28,,,,,,,,
147080413,99,6.1,28,,,,,,,,
142400065,129,5.9,28,,,,,,,,
71485043,113,6.8,18,,,,,,,,
0,90,5.2,35,,,,,,,,
105316267,118,5.6,12,,,,,,,,
101371017,106,6.1,35,,,,,,,,
